Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
SUMATERA UTARA,0.4,0.81,1.53,1.49,1.98,1.65,0.81,0.67,0.46,0.59,1.13,2.12,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA BARAT,-0.32,0.85,1.49,1.19,1.71,1.85,0.76,0.59,0.15,0.26,0.54,0.89,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
RIAU,0.11,0.7,1.43,1.48,1.78,1.55,0.74,0.46,0.13,0.19,0.62,1.25,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAMBI,0.83,0.96,1.5,1.68,1.88,1.74,0.9,0.89,0.72,0.75,0.96,1.43,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA SELATAN,-0.08,-0.07,0.18,0.61,0.67,0.64,0.35,0.16,0.04,0.12,0.7,1.2,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BENGKULU,0.15,0.94,1.16,1.29,1.6,1.56,0.85,0.67,0.38,0.3,0.49,0.84,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
LAMPUNG,-0.19,0.21,0.56,0.55,0.64,0.52,0.37,0.43,0.48,0.67,1.1,1.57,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. BANGKA BELITUNG,0.13,0.51,0.55,1.09,0.77,0.46,0.07,0.3,0.28,0.1,0.11,0.75,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. RIAU,0.51,0.29,0.75,0.81,1.18,1.46,1.01,0.97,1.11,1.17,1.41,2.09,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DKI JAKARTA,-0.19,0.26,0.63,0.89,0.79,0.91,0.85,0.89,0.79,0.82,1.1,1.48,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA BARAT,0.15,0.61,1.12,1.27,1.15,1.11,1.16,1.23,1.02,1.04,1.29,1.64,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TENGAH,-0.08,0.49,1.09,1.29,1.07,0.79,0.66,0.59,0.64,0.83,1.09,1.67,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.02,0.37,0.8,0.89,0.81,0.56,0.53,0.58,0.48,0.57,0.82,1.28,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TIMUR,-0.1,0.39,1.03,1.39,1.18,0.81,0.84,0.78,0.65,0.81,1.04,1.51,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BANTEN,-0.04,0.48,1.46,1.87,1.35,1.27,1.03,1.04,0.78,0.93,1.38,1.88,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BALI,-0.09,0.52,1.46,1.78,1.68,1.12,1.22,1.33,1.46,1.53,2.03,2.34,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,0.04,0.12,0.99,1.05,0.63,0.37,0.02,0.08,0.17,0.26,0.81,1.28,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
